"state","crime","incidents","victims"
"Arunachal Pradesh","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",105,162
"Assam","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",2625,2730
"Bihar","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",4479,4618
"Chhattisgarh","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",3830,4082
"Goa","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",229,264
"Gujarat","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",7306,8294
"Haryana","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",4879,5328
"Himachal Pradesh","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",853,1087
"Jammu & Kashmir","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",674,880
"Jharkhand","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",1932,1972
"Karnataka","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",10643,13213
"Kerala","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",3456,3663
"Madhya Pradesh","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",9412,9964
"Maharashtra","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",13116,13952
"Manipur","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",60,69
"Meghalaya","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",114,142
"Mizoram","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",49,74
"Nagaland","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",35,42
"Odisha","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",4254,4447
"Punjab","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",3582,4196
"Rajasthan","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",9429,9932
"Sikkim","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",64,131
"Tamil Nadu","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",16661,17785
"Telangana","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",7051,7529
"Tripura","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",170,179
"Uttar Pradesh","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",17916,20959
"Uttarakhand","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",595,681
"West Bengal","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",6378,7684
"A & N Islands","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",23,31
"Chandigarh","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",132,138
"D&N Haveli","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",48,48
"Daman & Diu","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",34,40
"Delhi","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",1856,1904
"Lakshadweep","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",1,1
"Puducherry","Causing Death By Negligence- Causing Death By Negligence-Total- Sec 304A IPC",246,254
"Andhra Pradesh","Dowry Deaths- Sec 304B IPC",193,194
"Arunachal Pradesh","Dowry Deaths- Sec 304B IPC",1,1
"Assam","Dowry Deaths- Sec 304B IPC",157,157
"Bihar","Dowry Deaths- Sec 304B IPC",987,987
"Chhattisgarh","Dowry Deaths- Sec 304B IPC",84,84
"Goa","Dowry Deaths- Sec 304B IPC",2,2
"Gujarat","Dowry Deaths- Sec 304B IPC",12,12
"Haryana","Dowry Deaths- Sec 304B IPC",260,260
"Himachal Pradesh","Dowry Deaths- Sec 304B IPC",3,3
"Jammu & Kashmir","Dowry Deaths- Sec 304B IPC",6,6
"Jharkhand","Dowry Deaths- Sec 304B IPC",278,278
"Karnataka","Dowry Deaths- Sec 304B IPC",234,234
"Kerala","Dowry Deaths- Sec 304B IPC",25,25
"Madhya Pradesh","Dowry Deaths- Sec 304B IPC",629,629
"Maharashtra","Dowry Deaths- Sec 304B IPC",248,248
"Manipur","Dowry Deaths- Sec 304B IPC",0,0
"Meghalaya","Dowry Deaths- Sec 304B IPC",0,0
"Mizoram","Dowry Deaths- Sec 304B IPC",0,0
"Nagaland","Dowry Deaths- Sec 304B IPC",1,1
"Odisha","Dowry Deaths- Sec 304B IPC",397,397
"Punjab","Dowry Deaths- Sec 304B IPC",80,80
"Rajasthan","Dowry Deaths- Sec 304B IPC",462,462
"Sikkim","Dowry Deaths- Sec 304B IPC",0,0
"Tamil Nadu","Dowry Deaths- Sec 304B IPC",58,59
"Telangana","Dowry Deaths- Sec 304B IPC",254,254
"Tripura","Dowry Deaths- Sec 304B IPC",19,19
"Uttar Pradesh","Dowry Deaths- Sec 304B IPC",2473,2478
"Uttarakhand","Dowry Deaths- Sec 304B IPC",57,57
"West Bengal","Dowry Deaths- Sec 304B IPC",535,535
"A & N Islands","Dowry Deaths- Sec 304B IPC",0,0
"Chandigarh","Dowry Deaths- Sec 304B IPC",4,4
"D&N Haveli","Dowry Deaths- Sec 304B IPC",0,0
"Daman & Diu","Dowry Deaths- Sec 304B IPC",0,0
"Delhi","Dowry Deaths- Sec 304B IPC",162,162
"Lakshadweep","Dowry Deaths- Sec 304B IPC",0,0
"Puducherry","Dowry Deaths- Sec 304B IPC",0,0
"Andhra Pradesh","Attempt to Commit Murder-Sec 307 IPC",1795,1864
"Arunachal Pradesh","Attempt to Commit Murder-Sec 307 IPC",46,65
"Assam","Attempt to Commit Murder-Sec 307 IPC",1257,1257
"Bihar","Attempt to Commit Murder-Sec 307 IPC",6998,7289
"Chhattisgarh","Attempt to Commit Murder-Sec 307 IPC",690,711
"Goa","Attempt to Commit Murder-Sec 307 IPC",18,23
"Gujarat","Attempt to Commit Murder-Sec 307 IPC",986,1169
"Haryana","Attempt to Commit Murder-Sec 307 IPC",889,937
"Himachal Pradesh","Attempt to Commit Murder-Sec 307 IPC",66,66
"Jammu & Kashmir","Attempt to Commit Murder-Sec 307 IPC",574,635
"Jharkhand","Attempt to Commit Murder-Sec 307 IPC",885,885
"Karnataka","Attempt to Commit Murder-Sec 307 IPC",2607,3004
"Kerala","Attempt to Commit Murder-Sec 307 IPC",622,697
"Madhya Pradesh","Attempt to Commit Murder-Sec 307 IPC",2178,2345
"Maharashtra","Attempt to Commit Murder-Sec 307 IPC",2619,2886
"Manipur","Attempt to Commit Murder-Sec 307 IPC",211,235
"Meghalaya","Attempt to Commit Murder-Sec 307 IPC",83,85
"Mizoram","Attempt to Commit Murder-Sec 307 IPC",17,17
"Nagaland","Attempt to Commit Murder-Sec 307 IPC",50,53
"Odisha","Attempt to Commit Murder-Sec 307 IPC",2778,2799
"Punjab","Attempt to Commit Murder-Sec 307 IPC",862,892
"Rajasthan","Attempt to Commit Murder-Sec 307 IPC",1632,1670
"Sikkim","Attempt to Commit Murder-Sec 307 IPC",17,18
"Tamil Nadu","Attempt to Commit Murder-Sec 307 IPC",2666,2980
"Telangana","Attempt to Commit Murder-Sec 307 IPC",1050,1193
"Tripura","Attempt to Commit Murder-Sec 307 IPC",58,65
"Uttar Pradesh","Attempt to Commit Murder-Sec 307 IPC",5109,5132
"Uttarakhand","Attempt to Commit Murder-Sec 307 IPC",212,212
"West Bengal","Attempt to Commit Murder-Sec 307 IPC",11973,12813
"A & N Islands","Attempt to Commit Murder-Sec 307 IPC",15,17
"Chandigarh","Attempt to Commit Murder-Sec 307 IPC",40,46
"D&N Haveli","Attempt to Commit Murder-Sec 307 IPC",2,2
"Daman & Diu","Attempt to Commit Murder-Sec 307 IPC",3,4
"Delhi","Attempt to Commit Murder-Sec 307 IPC",646,663
"Lakshadweep","Attempt to Commit Murder-Sec 307 IPC",1,1
"Puducherry","Attempt to Commit Murder-Sec 307 IPC",12,16
"Andhra Pradesh","Attempt to Commit Culpable Homicide-Sec 308 IPC",0,0
"Arunachal Pradesh","Attempt to Commit Culpable Homicide-Sec 308 IPC",0,0
"Assam","Attempt to Commit Culpable Homicide-Sec 308 IPC",17,17
"Bihar","Attempt to Commit Culpable Homicide-Sec 308 IPC",1364,1382
"Chhattisgarh","Attempt to Commit Culpable Homicide-Sec 308 IPC",1,1
"Goa","Attempt to Commit Culpable Homicide-Sec 308 IPC",0,0
"Gujarat","Attempt to Commit Culpable Homicide-Sec 308 IPC",6,9
"Haryana","Attempt to Commit Culpable Homicide-Sec 308 IPC",6,6
"Himachal Pradesh","Attempt to Commit Culpable Homicide-Sec 308 IPC",1,1
"Jammu & Kashmir","Attempt to Commit Culpable Homicide-Sec 308 IPC",0,0
"Jharkhand","Attempt to Commit Culpable Homicide-Sec 308 IPC",6,6
"Karnataka","Attempt to Commit Culpable Homicide-Sec 308 IPC",74,78
"Kerala","Attempt to Commit Culpable Homicide-Sec 308 IPC",2008,2132
"Madhya Pradesh","Attempt to Commit Culpable Homicide-Sec 308 IPC",76,90
"Maharashtra","Attempt to Commit Culpable Homicide-Sec 308 IPC",3,3
"Manipur","Attempt to Commit Culpable Homicide-Sec 308 IPC",2,2
"Meghalaya","Attempt to Commit Culpable Homicide-Sec 308 IPC",0,0
"Mizoram","Attempt to Commit Culpable Homicide-Sec 308 IPC",0,0
"Nagaland","Attempt to Commit Culpable Homicide-Sec 308 IPC",0,0
"Odisha","Attempt to Commit Culpable Homicide-Sec 308 IPC",0,0
"Punjab","Attempt to Commit Culpable Homicide-Sec 308 IPC",59,59
"Rajasthan","Attempt to Commit Culpable Homicide-Sec 308 IPC",133,133
"Sikkim","Attempt to Commit Culpable Homicide-Sec 308 IPC",0,0
"Tamil Nadu","Attempt to Commit Culpable Homicide-Sec 308 IPC",4,4
"Telangana","Attempt to Commit Culpable Homicide-Sec 308 IPC",5,5
"Tripura","Attempt to Commit Culpable Homicide-Sec 308 IPC",0,0
"Uttar Pradesh","Attempt to Commit Culpable Homicide-Sec 308 IPC",1849,1877
"Uttarakhand","Attempt to Commit Culpable Homicide-Sec 308 IPC",2,2
"West Bengal","Attempt to Commit Culpable Homicide-Sec 308 IPC",1058,1142
"A & N Islands","Attempt to Commit Culpable Homicide-Sec 308 IPC",2,2
"Chandigarh","Attempt to Commit Culpable Homicide-Sec 308 IPC",4,4
"D&N Haveli","Attempt to Commit Culpable Homicide-Sec 308 IPC",0,0
"Daman & Diu","Attempt to Commit Culpable Homicide-Sec 308 IPC",2,2
"Delhi","Attempt to Commit Culpable Homicide-Sec 308 IPC",845,925
"Lakshadweep","Attempt to Commit Culpable Homicide-Sec 308 IPC",0,0
"Puducherry","Attempt to Commit Culpable Homicide-Sec 308 IPC",0,0
"Andhra Pradesh","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",594,620
"Arunachal Pradesh","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",235,239
"Assam","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",9835,9847
"Bihar","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",12033,12356
"Chhattisgarh","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",785,786
"Goa","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",84,95
"Gujarat","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",2468,2642
"Haryana","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",2035,2099
"Himachal Pradesh","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",371,382
"Jammu & Kashmir","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",184,195
"Jharkhand","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",1363,1363
"Karnataka","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",1265,1432
"Kerala","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",1882,1925
"Madhya Pradesh","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",5397,5581
"Maharashtra","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",7637,7820
"Manipur","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",219,229
"Meghalaya","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",113,114
"Mizoram","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",118,126
"Nagaland","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",37,44
"Odisha","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",4463,4518
"Punjab","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",2202,2275
"Rajasthan","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",1332,1359
"Sikkim","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",40,42
"Tamil Nadu","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",611,644
"Telangana","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",1187,1270
"Tripura","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",921,1003
"Uttar Pradesh","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",12567,13244
"Uttarakhand","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",63,66
"West Bengal","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",18043,20073
"A & N Islands","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",27,28
"Chandigarh","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",39,41
"D&N Haveli","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",13,13
"Daman & Diu","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",10,15
"Delhi","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",508,522
"Lakshadweep","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",0,0
"Puducherry","Grievous Hurt- Grievous Hurt-Sec 325- 326 IPC",75,91
"Andhra Pradesh","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",10,11
"Arunachal Pradesh","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",0,0
"Assam","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",9,9
"Bihar","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",7,7
"Chhattisgarh","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",1,1
"Goa","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",1,2
"Gujarat","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",13,14
"Haryana","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",17,17
"Himachal Pradesh","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",0,0
"Jammu & Kashmir","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",0,0
"Jharkhand","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",1,1
"Karnataka","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",7,7
"Kerala","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",13,13
"Madhya Pradesh","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",6,7
"Maharashtra","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",8,8
"Manipur","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",0,0
"Meghalaya","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",0,0
"Mizoram","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",0,0
"Nagaland","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",0,0
"Odisha","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",13,13
"Punjab","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",11,18
"Rajasthan","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",3,3
"Sikkim","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",0,0
"Tamil Nadu","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",1,1
"Telangana","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",0,0
"Tripura","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",4,4
"Uttar Pradesh","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",57,61
"Uttarakhand","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",2,2
"West Bengal","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",76,83
"A & N Islands","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",0,0
"Chandigarh","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",2,2
"D&N Haveli","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",0,0
"Daman & Diu","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",0,0
"Delhi","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",21,23
"Lakshadweep","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",0,0
"Puducherry","Grievous Hurt- Acid Attack- Attempt to Acid Attack-Sec 326A- 326B IPC",0,0
"Andhra Pradesh","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",17795,26435
"Arunachal Pradesh","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",132,178
"Assam","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",4570,5285
"Bihar","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",5240,5759
"Chhattisgarh","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",9936,10531
"Goa","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",511,691
"Gujarat","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",16235,19357
"Haryana","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",6667,7394
"Himachal Pradesh","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",2371,3565
"Jammu & Kashmir","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",4859,6451
"Jharkhand","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",2001,2113
"Karnataka","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",34194,50473
"Kerala","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",34258,40547
"Madhya Pradesh","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",42245,48179
"Maharashtra","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",28397,31203
"Manipur","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",479,1019
"Meghalaya","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",144,194
"Mizoram","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",23,34
"Nagaland","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",28,29
"Odisha","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",6348,7022
"Punjab","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",2576,3249
"Rajasthan","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",12860,14979
"Sikkim","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",149,255
"Tamil Nadu","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",55114,75969
"Telangana","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",16881,19065
"Tripura","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",392,704
"Uttar Pradesh","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",19165,22284
"Uttarakhand","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",897,901
"West Bengal","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",11656,14036
"A & N Islands","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",221,285
"Chandigarh","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",300,340
"D&N Haveli","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",30,30
"Daman & Diu","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",33,51
"Delhi","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",10639,10772
"Lakshadweep","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",0,0
"Puducherry","Causing Simple- Grevious Injuries by Rash Driving Act-Sec-337- 338 IPC",1568,1877
"Andhra Pradesh","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",2356,2632
"Arunachal Pradesh","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",99,101
"Assam","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",1645,1645
"Bihar","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",145,145
"Chhattisgarh","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",1115,1116
"Goa","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",76,78
"Gujarat","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",548,549
"Haryana","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",545,545
"Himachal Pradesh","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",223,224
"Jammu & Kashmir","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",883,883
